"";"id";"screen name";"text"
"104";"UHJvcG9zYWw6Njg3MWY3ZDItNDBhZS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_75819";"Non réponse"
"105";"UHJvcG9zYWw6OWQ2ZDMxZTgtMWU3Yi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_4419";"Faire un référendum sur ce que le français estiment être ou ne pas être un signe d’appartenance religieuse ( kippa , barbe etc ) demander au citoyen pas aux représentants de l´etat ou religieux . L’etat Doit arrêter de financer l’entretien des églises"
"106";"UHJvcG9zYWw6NmJjOGExNTQtNDM0OC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_83628";"Les principes de la laïcité en France sont très clairs. Je crois que l'application des lois existantes en essayant de dépassionner le débat serait déjà une bonne chose. Il ne sert à rien de voter des lois si elles ne sont pas appliquées."
"107";"UHJvcG9zYWw6ZjU4MGVmYjAtMjNmZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_26701";"Plus aucune intervention religieuse dans les médias, plus aucun reportage sur les visites ou actions religieuses excepté dans les émissions dédiées.  On ne demande plus aux représentants religieux de s’exprimer sur une décision politique ou civile excepté dans les émissions dédiées. A l'école, les religions sont toutes expliquées uniquement dans le cadre historique."
"108";"UHJvcG9zYWw6MWMwNDUzNDAtMzQxMS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_52678";"Interdire les signes ostensibles dans tout l'espace public"
"109";"UHJvcG9zYWw6N2YxZDY3NTktMmY3Ny0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_46640";"Non réponse"
"110";"UHJvcG9zYWw6ZTE1MGE2NzgtNDY3OC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_100057";"- Maintenir la séparation religions -état  - Sanctionner toute atteinte à la laïcité"
"111";"UHJvcG9zYWw6ZjI1MjIzNjYtMWZjZC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_12188";"je pense qu'il ne faut rien changer! toute modification meme minime mettrait le feu ! il faut , par contre , appliquer la loi sans trembler , rappeler fermement la loi républicaine et sanctionner les dérives"
"112";"UHJvcG9zYWw6ZDM4ZTA4YmItNDQxOC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_88771";"Si l'Etat est laique, pourquoi la refection des Eglises par les Communes existe t'elle? Bien sur, c'est un patrimoine mais il devrait y avoir plus de participation de l'Eglise...Les mosquées et les synagogues, les temples et les temples bouddhistes sont ils traitées de la même manière?  Je suis une femme, pas musulmane et contre le voile intégral mais je ne suis pas contre le foulard simple (ou d'ailleurs contre la Kippa ou le port d'une croix) même dans l'espace public ou les institutions (école, fonctionnaires, etc). Je pense que cela finit par stigmatiser une partie de la population.  Pourquoi une maman ne pourrait elle pas aller dans un bus scolaire avec son foulard? Dit on quelque chose à qui porte une croix?   La laicité est une arme à double tranchant et je ne pense pas que la France puisse se sortir de ce qu'elle à créee....La laicité finit par être 'porte t'elle un foulard ou non?'.   Mais on ne recence pas les différentes ethnicités alors qu' on interdit les signes religieux (surtout musulman)....En sachant qui est qui, on pourrait savoir qui a des emplois, qui subit une discrimination, qui manque de soin etc etc. et donc adapter les politiques écononmiques et étatiques.  Je pense qu'on devrait permettre à chacun de porter les signes de ses appartenances (sauf voile intégral) et vivre avec notre diversité!"
"113";"UHJvcG9zYWw6YjY0MTM5M2QtNDMzNS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_82899";"Plus de rapport, séparation pure et simple"
